Ref,Val,Package,PosX,PosY,Rot,Side
"R1003","100k","R_0603_1608Metric",62.5000,-59.2250,180.0000,top
"R1004","3k3","R_0603_1608Metric",58.3000,-55.8750,180.0000,top
"R1005","3k3","R_0603_1608Metric",57.5500,-57.4250,180.0000,top
"R1006","200k","R_0603_1608Metric",68.7000,-59.9250,180.0000,top
"R1101","100k","R_0603_1608Metric",80.1000,-53.5250,180.0000,top
"R1102","100k","R_0603_1608Metric",67.8000,-7.6250,90.0000,top
"R1103","100k","R_0603_1608Metric",43.6000,-51.6250,0.0000,bottom
"R1104","10R","R_1206_3216Metric",40.5000,-49.3250,-90.0000,bottom
"R1105","100k","R_0603_1608Metric",73.4000,-51.6250,0.0000,bottom
"R1106","10R","R_1206_3216Metric",70.5000,-49.3250,-90.0000,bottom
"R1107","3k3","R_0603_1608Metric",66.3000,-74.5500,-90.0000,top
"R1108","3k3","R_0603_1608Metric",72.9750,-72.2250,0.0000,top
"R1109","200k","R_0603_1608Metric",61.2000,-74.1250,0.0000,top
"R1110","3k3","R_0603_1608Metric",59.3000,-71.7250,90.0000,top
"R1111","3k3","R_0603_1608Metric",63.4000,-71.1250,90.0000,top
"R1112","3k3","R_0603_1608Metric",85.5950,-53.9250,0.0000,top
"R1201","0R","R_0603_1608Metric",62.6000,-23.0250,90.0000,bottom
"R1202","100k","R_0603_1608Metric",80.5500,-42.9250,0.0000,top
"R1203","100k","R_0603_1608Metric",85.5000,-40.2250,0.0000,top
"R1204","2k8","R_0603_1608Metric",69.2000,-34.9250,-90.0000,bottom
"R1205","2k8","R_0603_1608Metric",70.0000,-32.6250,0.0000,bottom
"R1206","200k","R_0603_1608Metric",71.5000,-35.9250,0.0000,bottom
"R1401","100k","R_0603_1608Metric",77.1000,-15.9250,-90.0000,top
"R1402","100k","R_0603_1608Metric",82.2000,-21.3000,90.0000,top
"R1403","100k","R_0603_1608Metric",80.7000,-21.3000,90.0000,top
"R1404","100k","R_0603_1608Metric",69.6000,-7.6250,90.0000,top
"R1405","100k","R_0603_1608Metric",76.6000,-24.9000,-90.0000,top
"SW701","On / Off","SW_Slide_SPDT_Angled_CK_OS102011MA1Q",64.7000,-83.1250,0.0000,top
"SW901","Reset","TS11",81.2000,-81.7250,0.0000,top
"TH701","10k","R_0603_1608Metric",23.4750,-69.4250,180.0000,top
"X701","USB","USB_C_Receptacle_GCT_USB4110",44.0000,-81.7250,0.0000,top
"X702","Battery","S2B-PH-SM4-TB",15.9000,-77.4250,0.0000,top
"X901","Prog","490107670612-Debugging",77.5000,-10.7250,180.0000,bottom
"X1001","LEPTON","105028-1001",56.9000,-55.4250,0.0000,bottom
"X1201","Camera","Amphenol_F32R-1A7x1-11024_1x24-1MP_P0.5mm_Horizontal",56.9000,-28.6250,180.0000,bottom
"X1301","Micro SD-Card","microSD_HC_Hirose_DM3BT-DSF-PEJS",98.0000,-34.9250,90.0000,top
"X1401","Displayboard","Amphenol_F32R-1A7x1-11014_1x14-1MP_P0.5mm_Horizontal",90.9000,-19.4250,180.0000,top
"Y1001","25 MHz","Oscillator_SMD_Abracon_ASDMB-4Pin_2.5x2.0mm",60.7000,-63.1000,90.0000,top
"Y1201","25 MHz","Oscillator_SMD_Abracon_ASDMB-4Pin_2.5x2.0mm",68.6250,-26.4250,0.0000,bottom
